v,vw,o,c,h,l,t,n
12041.0,142.419,142.14,142.41,142.7,142.14,1670835600000,287
5750.0,142.5607,142.55,142.54,142.61,142.51,1670837400000,140
5658.0,142.5827,142.55,142.56,142.6,142.55,1670839200000,80
4499.0,142.6764,142.6,142.74,142.77,142.6,1670841000000,73
3800.0,142.6098,142.7,142.6,142.7,142.57,1670842800000,94
4177.0,142.6646,142.63,142.66,142.74,142.63,1670844600000,69
44230.0,142.5427,142.62,142.43,142.65,142.43,1670846400000,724
28992.0,142.4967,142.42,142.54,142.55,142.41,1670848200000,478
117613.0,142.6278,142.4899,142.6,142.7695,141.56,1670850000000,2130
88504.0,142.622,142.58,142.52,142.8,142.51,1670851800000,1460
163585.0,142.6151,142.56,142.9,142.9,142.26,1670853600000,2270
7255302.0,142.3196,142.7,142.679,143.01,141.64,1670855400000,95257
4661762.0,142.4384,142.69,142.125,142.88,141.971,1670857200000,40077
6226032.0,141.5134,142.125,141.77,142.13,141.06,1670859000000,42967
3641108.0,142.1705,141.77,142.13,142.47,141.73,1670860800000,32267
2848570.0,142.014,142.14,141.9481,142.28,141.8,1670862600000,25129
2390291.0,142.0389,141.95,142.04,142.22,141.84,1670864400000,22628
2416871.0,142.2576,142.03,142.2799,142.45,141.95,1670866200000,21742
2797614.0,142.2825,142.2773,142.365,142.69,142.045,1670868000000,24746
2672751.0,142.5771,142.36,142.7,142.885,142.22,1670869800000,22619
2661164.0,142.6254,142.71,142.655,142.785,142.39,1670871600000,24281
4641059.0,143.2643,142.6596,143.815,143.93,142.57,1670873400000,35011
4415620.0,143.8,143.82,143.9124,144.15,143.48,1670875200000,37390
9819934.0,143.6802,143.92,144.495,144.5,143.66,1670877000000,54646
5969636.0,144.4806,144.49,144.4,144.55,142.941054,1670878800000,1983
37074.0,144.2894,144.37,144.31,144.4,144.2,1670880600000,576
20015.0,144.3046,144.32,144.43,144.43,144.24,1670882400000,382
42457.0,144.4478,144.43,144.3,144.49,144.28,1670884200000,254
11131.0,144.2941,144.3,144.2419,144.39,143.5,1670886000000,243
13689.0,144.3405,144.28,144.38,144.4,144.25,1670887800000,244
11426.0,144.3928,144.37,144.38,144.44,144.37,1670889600000,249
13385.0,144.3861,144.38,144.44,144.44,144.35,1670891400000,287
18074.0,144.7023,144.74,144.89,144.89,144.4,1670922000000,338
20277.0,144.8596,144.89,144.69,144.92,144.69,1670923800000,301
22134.0,144.7677,144.73,144.97,144.97,144.67,1670925600000,321
11318.0,144.9116,144.91,144.89,144.99,144.85,1670927400000,172
22241.0,144.9357,144.89,144.96,144.96,144.89,1670929200000,137
31847.0,145.0259,144.98,145.08,145.14,144.93,1670931000000,465
42553.0,145.1519,145.08,145.26,145.35,144.96,1670932800000,866
69917.0,145.5821,145.28,145.71,145.73,145.28,1670934600000,1096
347797.0,145.7054,145.0379,146.83,146.83,144.0,1670936400000,4706
1546388.0,149.4582,146.8,149.45,151.0,146.55,1670938200000,20514
797099.0,149.7252,149.53,149.43,150.01,149.01,1670940000000,10807
11687288.0,149.3412,149.5,149.29,149.9692,148.785,1670941800000,115154
8572231.0,148.6563,149.29,148.09,149.45,147.94,1670943600000,73789
6853161.0,147.6088,148.0801,147.86,148.23,146.91,1670945400000,57341
4986160.0,147.8163,147.87,147.56,148.3496,147.28,1670947200000,41446
5692261.0,146.8605,147.565,146.2,148.1082,145.668,1670949000000,44573
5924454.0,145.2651,146.2008,144.8,146.37,144.61,1670950800000,41828
4940413.0,144.8363,144.795,145.065,145.31,144.24,1670952600000,43133
3754012.0,145.1083,145.08,145.545,145.63,144.53,1670954400000,35023
3188033.0,145.3437,145.54,145.3,145.77,144.84,1670956200000,28376
5471212.0,144.9174,145.3,145.1,145.49,144.28,1670958000000,44331
4583259.0,145.458,145.09,145.14,146.14,144.98,1670959800000,36266
4867261.0,144.8999,145.1336,145.41,145.4199,144.32,1670961600000,37639
6960841.0,145.5318,145.4,145.49,145.97,145.13,1670963400000,61379
5373242.0,145.4667,145.47,145.3,145.47,145.21,1670965200000,1657
101797.0,145.415,145.3,145.3416,145.47,145.29,1670967000000,674
15444.0,145.3674,145.34,145.39,145.47,145.31,1670968800000,298
14208.0,145.4273,145.38,145.45,145.45,145.38,1670970600000,283
11573.0,145.459,145.45,145.4,145.5,145.4,1670972400000,199
5459.0,145.4218,145.4,145.41,145.45,145.4,1670974200000,139
14404.0,145.4649,145.41,145.5,145.51,145.4,1670976000000,705
27283.0,145.4881,145.5,145.49,145.6,145.42,1670977800000,370
10757.0,145.2819,145.6,145.1,145.62,145.01,1671008400000,283
8722.0,145.0607,145.17,145.14,145.2,144.91,1671010200000,310
13621.0,145.0809,145.08,145.21,145.21,145.01,1671012000000,167
6971.0,145.0528,145.25,145.05,145.25,145.0,1671013800000,225
17658.0,144.8774,145.03,144.88,145.03,144.8,1671015600000,362
