v,vw,o,c,h,l,t,n
5890.0,194.7007,194.51,194.7,194.75,194.51,1702458000000,111
1622.0,194.6783,194.73,194.6,194.73,194.6,1702459800000,61
4206.0,194.5481,194.65,194.5,194.65,194.48,1702461600000,93
9458.0,194.4734,194.44,194.51,194.51,194.41,1702463400000,194
7865.0,194.5336,194.51,194.58,194.61,194.51,1702465200000,123
60066.0,195.0803,194.61,195.36,195.36,194.61,1702467000000,1027
19790.0,195.114,195.18,195.09,195.21,195.05,1702468800000,393
41674.0,195.2502,195.05,195.4,195.46,195.0,1702470600000,775
152895.0,195.541,195.1,195.78,195.83,194.53,1702472400000,3228
246892.0,195.949,195.78,195.89,196.19,195.75,1702474200000,3680
457390.0,195.256,195.83,195.01,196.0,194.71,1702476000000,6004
7318019.0,195.8369,195.09,195.91,196.58,194.85,1702477800000,73593
4063660.0,196.21,195.9,196.5201,196.63,195.8,1702479600000,120436
3488225.0,196.4473,196.525,196.322,196.7381,196.16,1702481400000,63678
3297839.0,196.0773,196.33,195.96,196.46,195.65,1702483200000,35515
2330866.0,196.0541,195.965,195.9501,196.28,195.91,1702485000000,19932
1744115.0,195.8893,195.955,195.77,196.11,195.695,1702486800000,20950
2354169.0,195.7642,195.7663,196.095,196.1,195.48,1702488600000,20562
2460594.0,196.3118,196.095,196.555,196.62,195.7,1702490400000,23239
3412458.0,196.7161,196.555,196.47,196.92,196.43,1702492200000,29172
5718525.0,197.0627,196.48,197.2975,197.45,196.48,1702494000000,56889
5745115.0,197.5802,197.295,197.91,198.0,197.0112,1702495800000,54759
5068115.0,197.3542,197.915,196.975,197.98,196.57,1702497600000,53449
8135413.0,197.3024,196.975,197.88,197.89,196.67,1702499400000,71284
3101349.0,197.9387,197.92,197.82,197.98,197.51,1702501200000,3664
867699.0,197.9365,197.82,197.86,197.96,197.68,1702503000000,1723
889377.0,197.9428,197.85,197.8,197.96,197.7,1702504800000,1186
173249.0,198.0436,197.83,198.1,198.24,197.79,1702506600000,1984
75388.0,198.0119,198.1,197.92,198.14,197.85,1702508400000,854
83826.0,197.9187,197.93,197.88,197.98,197.76,1702510200000,568
52853.0,197.953,197.95,197.98,198.0,197.84,1702512000000,719
99354.0,198.3472,197.99,198.53,198.78,197.95,1702513800000,1241
47080.0,198.0909,198.53,198.02,198.6,197.95,1702544400000,1032
10896.0,197.8987,197.98,197.99,198.0,197.8,1702546200000,272
10498.0,198.079,197.99,198.17,198.19,197.91,1702548000000,225
11618.0,198.1967,198.17,198.19,198.28,198.16,1702549800000,289
15254.0,197.9903,198.09,197.83,198.1,197.83,1702551600000,375
9900.0,197.8614,197.83,197.95,197.95,197.78,1702553400000,299
61527.0,198.0429,197.98,198.02,198.15,197.93,1702555200000,1101
