Date,Open,High,Low,Close,Adj Close,Volume
1987-03-25,3.037867,3.037867,3.003733,3.003733,1.503918,251221
1987-03-26,3.037867,3.037867,2.969600,3.003733,1.503918,446045
1987-03-27,3.003733,3.003733,2.901333,2.901333,1.452648,363281
1987-03-30,2.867200,2.901333,2.833067,2.901333,1.452648,607544
1987-03-31,2.901333,3.003733,2.867200,3.003733,1.503918,616699
1987-04-01,2.935467,2.969600,2.901333,2.935467,1.469738,301758
1987-04-02,2.935467,2.969600,2.901333,2.935467,1.469738,318237
1987-04-03,2.935467,2.969600,2.901333,2.901333,1.452648,262939
1987-04-06,2.969600,3.003733,2.901333,2.969600,1.486828,284912
1987-04-07,2.969600,2.969600,2.867200,2.867200,1.435558,1628540
1987-04-08,2.867200,2.901333,2.833067,2.867200,1.435558,477905
1987-04-09,2.867200,2.867200,2.696533,2.764800,1.384288,613770
1987-04-10,2.764800,2.833067,2.696533,2.833067,1.418468,210205
1987-04-13,2.798933,2.833067,2.764800,2.798933,1.401377,257080
1987-04-14,2.730667,2.798933,2.662400,2.696533,1.350107,1100464
1987-04-15,2.696533,2.764800,2.696533,2.764800,1.384288,1032715
1987-04-16,2.764800,2.798933,2.696533,2.696533,1.350107,209473
1987-04-20,2.730667,2.730667,2.696533,2.696533,1.350107,205444
1987-04-21,2.696533,2.798933,2.696533,2.798933,1.401377,384521
1987-04-22,2.798933,2.798933,2.730667,2.730667,1.367199,322632
1987-04-23,2.730667,2.730667,2.696533,2.696533,1.350107,396240
1987-04-24,2.696533,2.730667,2.662400,2.662400,1.333018,537964
1987-04-27,2.662400,2.730667,2.594133,2.628267,1.315929,285645
1987-04-28,2.662400,2.662400,2.560000,2.594133,1.298838,445312
1987-04-29,2.628267,2.730667,2.594133,2.594133,1.298838,253052
1987-04-30,2.594133,2.798933,2.560000,2.798933,1.401377,409058
1987-05-01,2.833067,2.833067,2.730667,2.764800,1.384288,154175
1987-05-04,2.730667,2.798933,2.730667,2.798933,1.401377,187866
1987-05-05,2.798933,2.833067,2.730667,2.833067,1.418468,190796
1987-05-06,2.798933,2.833067,2.764800,2.798933,1.401377,117554
1987-05-07,2.798933,2.935467,2.798933,2.867200,1.435558,434692
1987-05-08,2.901333,3.037867,2.901333,3.037867,1.521008,489624
