v,vw,o,c,h,l,t,n
395.0,19.0,19.0,19.0,19.0,19.0,1702472400000,2
2121.0,18.4734,18.1387,18.61,18.61,18.1387,1702476000000,22
257716.0,18.5645,18.6,18.48,18.65,18.45,1702477800000,2349
178885.0,18.5929,18.49,18.575,18.696,18.47,1702479600000,2055
105201.0,18.6336,18.57,18.685,18.7099,18.55,1702481400000,1380
183481.0,18.7296,18.69,18.73,18.78,18.69,1702483200000,2059
90010.0,18.7525,18.72,18.77,18.77,18.71,1702485000000,1379
137631.0,18.7464,18.765,18.72,18.79,18.69,1702486800000,1653
100156.0,18.7147,18.71,18.665,18.755,18.665,1702488600000,1265
70384.0,18.6459,18.66,18.645,18.695,18.59,1702490400000,1131
70337.0,18.6704,18.65,18.72,18.729,18.64,1702492200000,957
162190.0,18.8255,18.73,18.905,18.905,18.73,1702494000000,2227
234576.0,18.9883,18.91,19.09,19.1,18.88,1702495800000,2883
293442.0,19.0944,19.1,18.995,19.205,18.975,1702497600000,3516
810182.0,18.9875,18.995,19.01,19.045,18.92,1702499400000,7159
7058.0,19.0,19.0,19.0,19.0,19.0,1702501200000,16
1116.0,19.099,19.1,19.1,19.1,19.1,1702503000000,2
2049.0,19.0,19.0,19.0,19.0,19.0,1702506600000,2
3346.0,19.1902,19.2887,19.18,19.2887,19.18,1702558800000,11
105.0,19.0524,19.05,19.05,19.05,19.05,1702560600000,2
1240.0,19.3095,19.3,19.31,19.33,19.3,1702562400000,19
273562.0,19.5435,19.32,19.5,19.715,19.32,1702564200000,3073
179982.0,19.4283,19.4995,19.48,19.535,19.3,1702566000000,2530
135242.0,19.4068,19.4807,19.45,19.495,19.33,1702567800000,1974
127593.0,19.4831,19.445,19.5,19.525,19.42,1702569600000,1894
114119.0,19.5014,19.5,19.475,19.54,19.465,1702571400000,1652
132570.0,19.4093,19.475,19.34,19.49,19.3221,1702573200000,1590
383612.0,19.2146,19.335,19.06,19.345,19.05,1702575000000,3966
169009.0,19.0399,19.05,19.08,19.135,18.97,1702576800000,2234
83778.0,19.1026,19.08,19.08,19.14,19.05,1702578600000,1359
98840.0,19.1241,19.075,19.14,19.145,19.07,1702580400000,1593
113711.0,19.167,19.14,19.185,19.2,19.13,1702582200000,1675
138906.0,19.1644,19.185,19.125,19.195,19.125,1702584000000,1996
518292.0,19.0812,19.125,19.07,19.145,19.02,1702585800000,5564
12714.0,19.08,19.08,19.08,19.08,19.08,1702587600000,17
526206.0,18.9667,19.1,19.01,19.16,18.78,1702650600000,2986
173212.0,18.9986,19.015,19.01,19.05,18.93,1702652400000,2365
152911.0,18.9605,19.01,18.97,19.02,18.9,1702654200000,2226
85385.0,18.9361,18.965,18.895,18.98,18.89,1702656000000,1352
97632.0,18.9336,18.89,18.95,18.96,18.89,1702657800000,1430
120157.0,18.9681,18.95,18.95,19.005,18.935,1702659600000,1817
106414.0,18.9431,18.96,18.97,18.975,18.91,1702661400000,1674
107982.0,18.9358,18.97,18.935,18.98,18.89,1702663200000,1667
118478.0,18.9151,18.935,18.905,18.935,18.895,1702665000000,1857
106372.0,18.9087,18.905,18.91,18.935,18.875,1702666800000,1679
83246.0,18.9138,18.905,18.93,18.935,18.895,1702668600000,1472
158492.0,18.9811,18.93,19.04,19.05,18.92,1702670400000,2487
547592.0,19.0172,19.04,19.011,19.07,18.98,1702672200000,5644
133337.0,19.03,19.03,19.03,19.03,19.03,1702674000000,47
115.0,18.7433,18.7433,18.7433,18.7433,18.7433,1702679400000,1
162.0,19.08,19.08,19.08,19.08,19.08,1702899000000,2
134003.0,19.1079,19.04,19.17,19.19,18.93,1702909800000,1743
132747.0,19.2016,19.175,19.18,19.24,19.16,1702911600000,1736
122461.0,19.2267,19.18,19.22,19.285,19.15,1702913400000,1866
107533.0,19.2643,19.22,19.295,19.295,19.205,1702915200000,1791
96577.0,19.2721,19.29,19.265,19.3,19.24,1702917000000,1448
99847.0,19.2938,19.27,19.32,19.325,19.26,1702918800000,1468
87083.0,19.3113,19.315,19.31,19.355,19.29,1702920600000,1337
55741.0,19.307,19.315,19.315,19.33,19.28,1702922400000,872
58044.0,19.3,19.31,19.306,19.315,19.28,1702924200000,899
80231.0,19.2957,19.31,19.325,19.33,19.27,1702926000000,1041
103888.0,19.338,19.325,19.325,19.36,19.305,1702927800000,1288
131801.0,19.2911,19.32,19.25,19.33,19.25,1702929600000,1790
670673.0,19.3296,19.25,19.35,19.37,19.235,1702931400000,5613
36772.0,19.36,19.36,19.36,19.36,19.36,1702933200000,20
616.0,19.337,19.35,19.27,19.35,19.27,1702935000000,2
550.0,19.3355,19.27,19.35,19.35,19.27,1702938600000,2
500.0,19.39,19.39,19.39,19.39,19.39,1702942200000,1
2720.0,18.7003,18.7002,18.7002,18.7002,18.7002,1702990800000,3
