v,vw,o,c,h,l,t,n
202622.0,22.3035,22.25,22.295,22.5,22.21,1648819800000,1691
212535.0,22.306,22.28,22.21,22.39,22.185,1648821600000,2025
104715.0,22.2095,22.21,22.225,22.27,22.14,1648823400000,1214
89202.0,22.259,22.22,22.3,22.3,22.2,1648825200000,993
65043.0,22.2341,22.3,22.25,22.3,22.18,1648827000000,976
43902.0,22.2216,22.25,22.215,22.267,22.185,1648828800000,867
58900.0,22.1809,22.21,22.18,22.22,22.145,1648830600000,1077
67239.0,22.1671,22.18,22.19,22.2,22.14,1648832400000,1128
56305.0,22.2481,22.18,22.29,22.2999,22.17,1648834200000,1128
74592.0,22.352,22.285,22.4,22.405,22.275,1648836000000,1309
109132.0,22.4175,22.4,22.405,22.47,22.375,1648837800000,1707
84256.0,22.3761,22.4,22.335,22.44,22.295,1648839600000,1347
385159.0,22.3395,22.33,22.42,22.42,22.245,1648841400000,4204
56165.0,22.4199,22.42,22.41,22.42,22.41,1648843200000,25
5848.0,22.42,22.42,22.42,22.42,22.42,1648845000000,1
143231.0,22.4682,22.4,22.64,22.65,22.295,1649079000000,1493
114295.0,22.6714,22.63,22.73,22.75,22.545,1649080800000,1405
121336.0,22.7274,22.73,22.795,22.81,22.65,1649082600000,1829
91047.0,22.786,22.795,22.74,22.84,22.71,1649084400000,1463
74151.0,22.7876,22.735,22.83,22.835,22.725,1649086200000,1040
73286.0,22.8143,22.83,22.76,22.85,22.75,1649088000000,860
72983.0,22.8001,22.76,22.8,22.83,22.76,1649089800000,1001
70702.0,22.7963,22.795,22.765,22.83,22.765,1649091600000,852
151671.0,22.866,22.76,22.895,22.92,22.735,1649093400000,1750
143492.0,22.8944,22.89,22.905,22.92,22.855,1649095200000,1636
130590.0,22.9611,22.905,22.96,23.005,22.89,1649097000000,1537
80590.0,22.9667,22.96,22.965,23.0,22.915,1649098800000,1122
440640.0,23.0021,22.965,23.04,23.06,22.955,1649100600000,4804
40101.0,23.0299,23.03,23.0,23.03,23.0,1649102400000,13
174280.0,22.9161,22.95,22.92,23.04,22.83,1649165400000,1688
313415.0,22.821,22.91,22.88,22.99,22.66,1649167200000,3332
144741.0,22.8662,22.88,22.925,22.965,22.795,1649169000000,1709
216608.0,22.9735,22.93,22.96,23.04,22.915,1649170800000,2185
175477.0,22.9727,22.945,22.99,23.01,22.88,1649172600000,1981
203896.0,22.9329,22.99,22.88,23.0,22.82,1649174400000,2187
210699.0,22.9335,22.87,23.04,23.04,22.85,1649176200000,2397
182596.0,23.0411,23.0399,23.07,23.1,22.99,1649178000000,1662
295323.0,22.9231,23.0675,22.88,23.07,22.87,1649179800000,3088
193346.0,22.8799,22.885,22.89,22.92,22.81,1649181600000,2158
183332.0,22.9168,22.895,22.875,22.965,22.86,1649183400000,2141
187168.0,22.87,22.88,22.805,22.92,22.805,1649185200000,2393
427564.0,22.8182,22.805,22.83,22.845,22.77,1649187000000,4836
19026.0,22.84,22.84,22.84,22.84,22.84,1649188800000,19
100.0,23.0,23.0,23.0,23.0,23.0,1649192400000,1
2241.0,22.5877,22.61,22.48,22.61,22.47,1649250000000,43
126840.0,22.3532,22.47,22.17,22.54,22.17,1649251800000,1326
156213.0,22.055,22.175,22.025,22.19,21.935,1649253600000,1823
144586.0,22.0214,22.025,22.01,22.12,21.945,1649255400000,1951
104455.0,22.0279,22.0,21.98,22.1,21.97,1649257200000,1351
102897.0,21.9357,21.98,21.985,22.0059,21.89,1649259000000,1456
61128.0,21.974,21.99,21.99,22.01,21.94,1649260800000,979
123262.0,21.8512,21.99,21.79,21.995,21.79,1649262600000,1429
94910.0,21.8494,21.795,21.91,21.94,21.762,1649264400000,1597
71237.0,21.9149,21.91,21.875,21.97,21.86,1649266200000,1295
194225.0,21.8578,21.87,21.87,21.99,21.79,1649268000000,2295
208615.0,21.9131,21.875,21.97,21.98,21.865,1649269800000,1900
143942.0,21.9453,21.975,21.86,22.02,21.85,1649271600000,2081
487481.0,21.8434,21.85,21.8,21.9,21.79,1649273400000,5637
123179.0,21.81,21.81,21.81,21.81,21.81,1649275200000,22
200.0,22.46,22.46,22.46,22.46,22.46,1649332800000,1
1503.0,21.8393,21.82,21.85,21.85,21.81,1649336400000,9
208670.0,21.7813,21.89,21.685,21.955,21.65,1649338200000,1733
246668.0,21.624,21.69,21.59,21.69,21.58,1649340000000,2008
153165.0,21.6263,21.58,21.675,21.675,21.58,1649341800000,1815
177987.0,21.6248,21.68,21.57,21.705,21.545,1649343600000,2456
637323.0,21.6471,21.58,21.725,21.725,21.54,1649345400000,2429
269994.0,21.8261,21.73,21.875,21.89,21.7,1649347200000,1620
