v,vw,o,c,h,l,t,n
8054.0724688699975,2987.4055,2988.09,2995.53,2997.7,2974.9,1650240000000,14024
3203.613277130001,2989.0683,2995.53,2990.98,2995.77,2982.46,1650241800000,9563
2924.88507599,2993.0635,2990.97,2990.95,2998.62,2986.1,1650243600000,9288
2151.059131029999,2989.7521,2990.9,2990.21,2994.5,2985.31,1650245400000,8274
1564.7284832200014,2990.4905,2990.2,2992.31,2994.5,2987.32,1650247200000,7073
2154.967397169999,2994.6563,2992.3,2995.37,2997.9,2989.74,1650249000000,7079
1768.7514086299989,2994.7622,2995.47,2993.85,3002.2,2989.14,1650250800000,6271
1268.0045497200003,2995.9709,2993.37,2995.51,3000.2,2989.63,1650252600000,6238
15003.943105140077,2934.749,2995.51,2919.63,2996.6,2896.25,1650254400000,24540
9218.98133558999,2916.9559,2919.39,2913.52,2928.4,2909.0,1650256200000,14907
4514.084007539997,2914.3228,2913.23,2924.9,2925.9,2902.18,1650258000000,12222
3097.5391278699976,2918.2715,2924.9,2915.19,2926.8,2913.76,1650259800000,8870
2142.7976833999996,2916.2796,2915.12,2918.06,2921.80935943,2912.62,1650261600000,6886
2033.603236470001,2920.0566,2918.03,2916.6,2926.9,2915.06,1650263400000,7173
4396.635370659994,2914.0429,2916.33,2908.98,2920.65,2905.99,1650265200000,8379
6749.35199795999,2897.195,2908.82,2893.53,2912.6,2880.0,1650267000000,12599
3960.6822833899982,2898.7341,2893.51,2902.52,2909.8,2889.94,1650268800000,8429
1781.0462585999987,2900.5329,2903.25,2894.06,2906.2,2892.94,1650270600000,6670
1899.492663470001,2897.4328,2895.8,2898.11,2902.79,2889.3,1650272400000,5985
1877.5031143900019,2904.4026,2898.11,2909.71,2910.0,2896.47,1650274200000,7857
2917.672614399999,2915.9778,2909.5,2918.7,2922.21101604,2905.5,1650276000000,8704
3068.557421090001,2917.005,2918.82,2909.04,2925.0,2907.64,1650277800000,7008
1587.4463562900005,2916.8562,2909.21,2916.69,2924.52,2909.02,1650279600000,7093
1337.652640340001,2914.6151,2916.84,2912.55,2920.4,2909.36,1650281400000,6670
4606.7740413399915,2927.1621,2913.6,2936.27,2944.0,2909.95,1650283200000,11161
3062.7983809400025,2941.0331,2937.17854519,2942.26,2948.82,2932.54,1650285000000,10502
1836.5834261700006,2938.3529,2943.98665298,2936.13,2950.7,2932.08,1650286800000,9135
8459.14464902999,2935.195,2936.13,2924.1,2953.6,2912.45,1650288600000,18468
5621.330455499997,2936.6903,2923.84,2935.44,2945.6,2920.92,1650290400000,13711
